PERIOD,AUDITTYPE,STORECODE,DLRCODE,ITEMCODE,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE,Status,Master IC,,,
202410,1,117663873,20625010001,1729593313796,19,UNILEVER SRI LANKA LTD,VASELINE ,VASELINE /100ML/PET/NATURAL ALOE EXTACT,425,100ML,PET,,1730270523279-ceylon biscuits limited-munchee #3.png,-,,,,
202410,1,117663873,20625010001,1728373107661,16,UNILEVER SRI LANKA LTD,WONDERLIGHT ,WONDERLIGHT /110G*2/POCH /JASMINE ,0,110G*2,POCH ,,1730270523279-ceylon biscuits limited-munchee #3.png,-,,,,
202410,1,8156987,41402010001,1728887847505,12,SUNSHINE COUNSUMER LANKA LTD,WATAWALA CEYLON ,WATAWALA / 50 GM / PLPCH  / WATAWALA CEYLON  TEA ,150,50 GM,PLPCH ,,1730270523279-ceylon biscuits limited-munchee #3.png,-,,,,
202410,1,88247493,14658010001,1729763874364,19,UNILEVER SRI LANKA LTD,VASELINE ,VASELINE  / 100 ML / PLBOT / HEALTHY BRIGHT IN 2 WEEKS SARUM  IN LOTION ,470,100 ML,PLBOT ,,1729763874364-unilever sri lanka ltd-vaseline #3.png,-,,,,
202410,1,558126,15986010002,1729514427695,6,CEYLON BISCUITS LIMITED,MUNCHEE ,MUNCHEE/ 85 GM / PLPCH  / CAROL COOKIE'S ,100,85 GM,PLPCH ,,1729514427695-ceylon biscuits limited-munchee #3.png,-,,,,
202410,1,558126,15986010002,1729510807468,6,CEYLON BISCUITS LIMITED,MUNCHEE ,MUNCHEE  / 340 GM / PLPCH  / CAROL COOKIE'S,350,340 GM,PLPCH ,,1729510807468-ceylon biscuits limited-munchee #3.png,-,,,,
202410,1,558126,15986010002,1728896383494,9,PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE /400 GM / PLPCH  / FULL  CREAM MILK POWDER  /  (SAVE RS.50 /=)  ,1030,400 GM,PLPCH ,,1729510807468-ceylon biscuits limited-munchee #3.png,-,,,,
202410,1,8157130,41402010006,1729931898486,19,BELLOSE LANKA (PVT)LTD,BODY DOO,BODY DOO/ 200 / ML / RESTORING CARE BODY LOTION,740,200 ML,PLBOT ,,1729931898486-bellose lanka -pvt-ltd-body doo#3.png,-,,,,
202410,1,8157130,41402010006,1729934236503,19,PURE HERBS INTERNATIONAL LTD,O'NELLE NATURALS,"O,NELLE NATURE'S/100 / ML / PLBOT  /SHEA BATTER AND BEE HONEY PERFUMS BODY  LOTION ",595,100 ML,PLBOT ,,1729934236503-pure herbs international ltd-o-nelle naturals#3.png,-,,,,
202410,1,8157130,41402010006,1729941063477,19,MACKSONS CARE ( PVT) LTD ,MACRON ,MACRON/ 200 / ML / PLBOT  / BODY LOTION  SEA WEED NORMAL SKIN ,890,200 ML ,PLBOT ,,1729941063477-macksons care - pvt- ltd -macron #3.png,-,,,,
202410,1,8157130,41402010006,1729922782778,26,MACKS MARKETING PVT LTD,MACRON,MACRON /200/ML/PLBOT/ CONDITIONER KERATIN ,850,200 ML ,PLBOT ,,1729922782778-macks marketing pvt ltd-macron#3.png,-,,,,
202410,1,8157130,41402010006,1729931660018,19,BELLOSE LANKA (PVT)LTD,BODY DOO,BODY DOO / 200 / ML /PLBOT/ ALOE HYDRATION BODY LOTION,740,200 ML,PLBOT ,,1729931660018-bellose lanka -pvt-ltd-body doo#3.png,-,,,,
202410,1,8157130,41402010006,1729932122793,19,BELLOSE LANKA (PVT)LTD,BODY DOO,BODY DOO  / 200 ML / PLBOT / EXTRA BRIGHT BODY LOTION ,840,200 ML,PLBOT ,,1729932122793-bellose lanka -pvt-ltd-body doo#3.png,-,,,,
202410,1,8148478,12103080004,1730260792416,39,PRINT EXCEL PVT LTD,PROMATE,PROMATE/50/PGS/BOOK/NOTE BOOK A6,180,50 PGS,BOOK,,1730260792416-print excel pvt ltd-promate#3.png,-,,,,
202410,1,8148478,12103080004,1730260461103,39,RICHARD TRADING CO (PVT) LTD,RICHARD COLOURAY,RICHARD COLOURAY/80/PGS/BOOK/NOTE BOOK A7,60,80 PGS,BOOK,,1730260461103-richard trading co -pvt- ltd-richard colouray#3.png,-,,,,
202410,1,40056892,21401010003,1730176425461,39,IMPORTED,COLORES ,COLORES / (IMPORTED) / NEW ELITE /12 COLOUR PACK /1 NO CDBOX,230,12 COLOUR ,CDBOX,,1730176425461-imported-colores #3.png,-,,,,
